market,PreCOVID_SalePrice_AnnGrowth,COVID_SalePrice_AnnGrowth,PostCOVID_SalePrice_AnnGrowth,COVID_Deviation_Flag,Supply_Early_Growth,Supply_Late_Growth,Supply_Shift_Flag
Fayetteville - NC,0.0544477238797374,0.22079096083313976,-0.012714748312495416,True,-0.0016557517252242526,0.02583276245734112,True
Flint - MI,0.06987275919113367,0.1541641820382409,-0.01830803862268937,True,0.005013332015092464,0.0046889029949295224,False
Fort Lauderdale - FL,0.057046414359829045,0.15617742656861822,-0.043294576761449544,True,0.03138284739067143,0.034708986501367445,False
Fort Myers - FL,0.09229158649678681,0.20828705407768133,-0.03189283772001672,True,0.12152924738709392,0.09204121600890369,False
Fort Wayne - IN,0.05829368174842964,0.12308676174927946,-0.019263436089212216,True,0.011433414314291568,0.033921581095368136,True
Fresno - CA,0.06664914766136643,0.16099385353824736,-0.01776815023351974,True,0.007829875375516826,0.011654423024116678,False
Grand Rapids - MI,0.07169337873556803,0.1484563187951098,-0.020229177168502144,True,0.03144699110546001,0.028267370066222375,False
Greensboro - NC,0.07252965323879712,0.17615090237139386,0.0006197175606363903,True,0.0167718026988688,0.02180759783127062,False
Greenville - SC,0.06555176091326032,0.14208953239125588,-0.005601376558289961,True,0.03254817973851698,0.052570307180465736,True
Gulfport-Biloxi-Pascagoula - MS,0.04146306188907545,0.1244689894115758,-0.021206272996780573,True,0.011271213916855372,0.012119438735805899,False
Harrisburg - PA,0.06065649346509594,0.12276477518739659,-0.023951369878601136,True,0.009822841208471544,0.03280639759043358,True
Hartford - CT,0.0399611732163212,0.14893414321798248,-0.014357146699507384,True,0.007827126729466727,0.01990418404531713,True
Honolulu - HI,0.04475215835027435,0.12284535678232955,-0.02321548672306517,True,0.011191341972582869,0.008930660210624719,False
Houston - TX,0.04629201800606819,0.11792066494289366,-0.04010792017174225,True,0.029907285467833056,0.032101008616655546,False
Huntsville - AL,0.08440914743690286,0.1779022682264575,-0.04069020520586997,True,0.0765016460423178,0.1425837900378375,True
Indianapolis - IN,0.06246200425666659,0.15339026358285257,0.007295753748054468,True,0.012756751005293943,0.03065841025525784,True
